latitude,longitude
-6.026005079999999,-35.20200608
-6.025178839999999,-35.20117984
-6.0243525999999985,-35.2003536
-6.023526359999999,-35.19952736
-6.022700119999999,-35.19870112
-6.022700119999999,-35.19787488
-6.022700119999999,-35.19704864
-6.0218738799999985,-35.196222399999996
-6.021047639999998,-35.19539616
-6.020221399999999,-35.19456992
-6.019395159999998,-35.19374368
-6.018568919999998,-35.19291744
-6.017742679999998,-35.1920912
-6.016916439999998,-35.19126496
-6.016090199999998,-35.19126496
